Unnamed: 0,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19
,,,,,
,12 mths,12 mths,12 mths,12 mths,12 mths
EQUITIES AND LIABILITIES,EQUITIES AND LIABILITIES,,,,
SHAREHOLDER'S FUNDS,SHAREHOLDER'S FUNDS,,,,
Equity Share Capital,2454.40,1843.49,1701.60,1063.95,1063.95
Total Share Capital,2454.40,1843.49,1701.60,1063.95,1063.95
Reserves and Surplus,-1035.01,-5981.35,-5735.07,-11370.74,-8115.43
Total Reserves and Surplus,-1035.01,-5981.35,-5735.07,-11370.74,-8115.43
Money Received Against Share Warrants,0.00,231.84,0.00,0.00,0.00
Total Shareholders Funds,1419.39,-3906.02,-4033.47,-10306.79,-7051.48
Equity Share Application Money,0.00,0.00,12.99,0.00,0.00
Hybrid/Debt/Other Securities,0.00,13.93,41.65,28.50,28.50
NON-CURRENT LIABILITIES,NON-CURRENT LIABILITIES,,,,
Long Term Borrowings,2008.98,3774.69,4292.88,653.66,1842.53
Other Long Term Liabilities,8.86,2395.06,2120.80,68.74,18.19
Long Term Provisions,144.83,112.96,65.17,79.88,4034.06
Total Non-Current Liabilities,2162.67,6282.71,6478.85,802.28,5894.78
CURRENT LIABILITIES,CURRENT LIABILITIES,,,,
Short Term Borrowings,323.02,486.54,200.00,8260.69,3257.98
Trade Payables,1062.09,1815.94,1372.45,1157.86,1793.34
Other Current Liabilities,629.62,586.90,850.44,5202.70,3966.13
Short Term Provisions,451.20,395.26,439.13,578.16,633.52
Total Current Liabilities,2465.93,3284.64,2862.02,15199.41,9650.97
Total Capital And Liabilities,6047.99,5675.26,5362.04,5723.40,8522.77
ASSETS,ASSETS,,,,
NON-CURRENT ASSETS,NON-CURRENT ASSETS,,,,
Tangible Assets,434.26,525.74,530.90,587.29,736.91
Intangible Assets,62.90,124.70,194.24,270.59,630.01
Capital Work-In-Progress,0.87,7.63,96.34,104.60,129.74
Intangible Assets Under Development,3.43,4.42,3.52,12.30,10.41
Other Assets,29.21,30.86,32.64,34.67,37.36
Fixed Assets,530.67,693.35,857.64,1009.45,1544.43
Non-Current Investments,1753.90,1751.98,1780.64,1781.95,2008.58
Long Term Loans And Advances,1244.42,52.51,289.97,419.16,659.92
Other Non-Current Assets,454.70,297.96,410.52,301.41,436.36
Total Non-Current Assets,3983.69,2795.80,3338.77,3511.97,4649.29
CURRENT ASSETS,CURRENT ASSETS,,,,
Inventories,760.42,1167.47,861.93,897.14,1180.34
Trade Receivables,546.32,667.63,379.30,425.40,1090.61
Cash And Cash Equivalents,290.63,410.02,193.65,36.28,16.20
Short Term Loans And Advances,0.61,52.35,21.28,378.14,732.86
OtherCurrentAssets,466.32,581.99,567.11,474.47,853.47
Total Current Assets,2064.30,2879.46,2023.27,2211.43,3873.48
Total Assets,6047.99,5675.26,5362.04,5723.40,8522.77
OTHER ADDITIONAL INFORMATION,OTHER ADDITIONAL INFORMATION,,,,
"CONTINGENT LIABILITIES, COMMITMENTS","CONTINGENT LIABILITIES, COMMITMENTS",,,,
Contingent Liabilities,191.97,180.43,225.95,236.33,643.47
CIF VALUE OF IMPORTS,CIF VALUE OF IMPORTS,,,,
EXPENDITURE IN FOREIGN EXCHANGE,EXPENDITURE IN FOREIGN EXCHANGE,,,,
Expenditure In Foreign Currency,317.76,324.67,328.28,126.04,765.49
REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,,,,
Dividend Remittance In Foreign Currency,-,-,-,-,-
EARNINGS IN FOREIGN EXCHANGE,EARNINGS IN FOREIGN EXCHANGE,,,,
FOB Value Of Goods,-,-,-,-,-
Other Earnings,20.75,26.84,14.22,27.12,77.66
BONUS DETAILS,BONUS DETAILS,,,,
Bonus Equity Share Capital,251.86,251.86,251.86,251.86,251.86
NON-CURRENT INVESTMENTS,NON-CURRENT INVESTMENTS,,,,
Non-Current Investments Quoted Market Value,-,-,-,-,-
Non-Current Investments Unquoted Book Value,1753.90,1751.98,1750.84,1752.15,2008.58
CURRENT INVESTMENTS,CURRENT INVESTMENTS,,,,
Current Investments Quoted Market Value,-,-,-,-,-
Current Investments Unquoted Book Value,-,-,-,-,-
Source : Dion Global Solutions Limited,Source : Dion Global Solutions Limited,Source : Dion Global Solutions Limited,Source : Dion Global Solutions Limited,Source : Dion Global Solutions Limited,Source : Dion Global Solutions Limited
