Net Quantity stocks,Buy Count,Sell Count,Symbol,Client Name,Net Quantity top clients
"183,838,040",46,44,JPPOWER,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,"36,658,683"
"98,109,265",32,32,FCSSOFT,JAINAM BROKING LIMITED,"34,273,133"
"69,088,621",125,125,RPOWER,PACE COMMODITY BROKERS PRIVATE LIMITED,"43,195,954"
"55,714,671",26,25,INFIBEAM,CITADEL SECURITIES INDIA MARKETS PRIVATE LIMITED,"21,551,428"
"37,200,000",1,0,JIOFIN,MOTILAL OSWAL MUTUAL FUND,"37,200,000"
"33,948,958",24,20,KBCGLOBAL,LTS INVESTMENT FUND LTD,"10,000,000"
"22,002,709",23,21,INVENTURE,MOHTA SARITA,"6,630,000"
"20,787,858",28,28,DISHTV,SANTOSH INDUSTRIES LTD,"17,000,000"
"17,809,472",2,0,BANDHANBNK,SOCIETE GENERALE,"8,923,493"
"15,453,059",9,6,ZEEL,PLUTUS WEALTH MANAGEMENT LLP,"9,000,000"
